matureform	total copies	rno_Cortex-adult,rno_Cortex-embryo,rno_Glioma-C6,rno_Hippocamp-adult,rno_Neurobl-B35,rno_Neurobl-B35-dcAMP,rno_Neurobl-B35-noFBS,rno_Neurobl-B35-RA,rno_Pheochrom-PC12,rno_Pheochrom-PC12-NGF,rno_Striatum-adult,rno_Striatum-embryo,rno_Thyroid-FRTL5,rno_Thyroid-FRTL5-Ras,rno_Thyroid-FRTL5-Ras-tamox-48h,rno_Thyroid-FRTL5-Ras-tamox-7d
rno-miR-21	269.000	0.00226,0.00079,0.02293,0.00364,0.01869,0.01765,0.03654,0.02017,0.00000,0.00153,0.00251,0.00000,0.00512,0.00300,0.03756,0.10464
rno-miR-210	27.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00784,0.00166,0.00119,0.01733,0.00766,0.00000,0.00083,0.00000,0.00450,0.00100,0.00000
rno-miR-211-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-212	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-214-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-215-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-216a	1.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00125,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-216b-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-217-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-218	22.000	0.00677,0.00000,0.00000,0.00606,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00501,0.00000,0.00128,0.00300,0.00200,0.00000
rno-miR-219-3p	2.000	0.00113,0.00079,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-219-5p	3.000	0.00113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00251,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-22	384.000	0.01242,0.00476,0.02293,0.01091,0.00935,0.02941,0.02326,0.01423,0.00173,0.01531,0.00627,0.00000,0.05882,0.05547,0.07461,0.04936
rno-miR-221	9.000	0.00000,0.00000,0.00705,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00250,0.00000
rno-miR-222	8.000	0.00226,0.00000,0.00353,0.00242,0.00000,0.00196,0.00166,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-223-3p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-224-5p	0.000	0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
rno-miR-23a	108.500	0.00282,0.00000,0.01940,0.00485,0.00935,0.00196,0.01495,0.01068,0.00433,0.00077,0.00000,0.00000,0.01535,0.02099,0.01577,0.00543
rno-miR-23b	117.500	0.00169,0.00000,0.00705,0.00364,0.00623,0.00588,0.01163,0.00356,0.03033,0.02374,0.00627,0.00000,0.01023,0.01649,0.00876,0.01728
rno-miR-24	453.000	0.00677,0.00000,0.04762,0.00121,0.05763,0.02549,0.05648,0.04033,0.02600,0.04594,0.00877,0.00000,0.04987,0.06297,0.04607,0.07502
rno-miR-25-3p	34.000	0.00000,0.00000,0.00529,0.00121,0.00156,0.00000,0.00166,0.00237,0.00867,0.00153,0.00125,0.00083,0.01023,0.00600,0.00100,0.00395
rno-miR-25-5p	6.000	0.00000,0.00000,0.00176,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00153,0.00000,0.00000,0.00512,0.00000,0.00000,0.00000
rno-miR-26a	73.000	0.00564,0.00000,0.01058,0.01212,0.00779,0.00196,0.00166,0.00356,0.00520,0.00000,0.01504,0.00083,0.00000,0.00225,0.00901,0.00642
rno-miR-26b	25.000	0.00000,0.00000,0.00529,0.00000,0.00156,0.00000,0.00000,0.00237,0.00173,0.00306,0.00376,0.00083,0.00512,0.00075,0.00250,0.00247
rno-miR-27a	518.000	0.00451,0.00000,0.06261,0.00364,0.14097,0.01765,0.09884,0.11329,0.01733,0.03522,0.00251,0.00000,0.01726,0.04423,0.04957,0.04344
rno-miR-27b	258.000	0.00113,0.00000,0.03616,0.00606,0.01636,0.00392,0.01412,0.01246,0.01906,0.04135,0.00501,0.00000,0.01726,0.03073,0.02153,0.07996
rno-miR-28	83.000	0.00000,0.00000,0.01587,0.00000,0.00935,0.00392,0.02492,0.01779,0.00000,0.00000,0.00000,0.00000,0.00639,0.00600,0.01002,0.00691
